"filename", "language", "YAML", "Dart", "JSON", "Markdown", "Swift", "C++", "XML", "Properties", "Gradle", "comment", "blank", "total"
"c:\.projects\flutter\mental_health_flutter\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\.projects\flutter\mental_health_flutter\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 22, 2, 5, 29
"c:\.projects\flutter\mental_health_flutter\assets\animation\coming_soon.json", "JSON", 0, 0, 12323, 0, 0, 0, 0, 0, 0, 0, 0, 12323
"c:\.projects\flutter\mental_health_flutter\assets\images\google_gemini_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\.projects\flutter\mental_health_flutter\assets\translations\ar.json", "JSON", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 3, 59
"c:\.projects\flutter\mental_health_flutter\assets\translations\en.json", "JSON", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 1, 57
"c:\.projects\flutter\mental_health_flutter\devtools_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\.projects\flutter\mental_health_flutter\firebase.json", "JSON", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\.projects\flutter\mental_health_flutter\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"c:\.projects\flutter\mental_health_flutter\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\.projects\flutter\mental_health_flutter\ios\Runner\Assets.xcassets\AppIcon.appiconset\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\.projects\flutter\mental_health_flutter\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\.projects\flutter\mental_health_flutter\ios\Runner\Assets.xcassets\BrandingImage.imageset\Contents.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\.projects\flutter\mental_health_flutter\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json", "JSON", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\.projects\flutter\mental_health_flutter\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\.projects\flutter\mental_health_flutter\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"c:\.projects\flutter\mental_health_flutter\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 47, 0, 0, 1, 1, 49
"c:\.projects\flutter\mental_health_flutter\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"c:\.projects\flutter\mental_health_flutter\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\.projects\flutter\mental_health_flutter\lib\core\ads_helper.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\.projects\flutter\mental_health_flutter\lib\core\notification_handler.dart", "Dart", 0, 52, 0, 0, 0, 0, 0, 0, 0, 6, 10, 68
"c:\.projects\flutter\mental_health_flutter\lib\core\routes.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 1, 15
"c:\.projects\flutter\mental_health_flutter\lib\core\theme.dart", "Dart", 0, 71, 0, 0, 0, 0, 0, 0, 0, 1, 5, 77
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\auth_screens\cubit\auth_cubit.dart", "Dart", 0, 64, 0, 0, 0, 0, 0, 0, 0, 19, 9, 92
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\auth_screens\cubit\auth_state.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 9, 20
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\auth_screens\pages\login_page.dart", "Dart", 0, 234, 0, 0, 0, 0, 0, 0, 0, 7, 5, 246
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\auth_screens\pages\logup_page.dart", "Dart", 0, 274, 0, 0, 0, 0, 0, 0, 0, 10, 7, 291
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\auth_screens\widgets\widgets.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\get_doctor\bloc\doctor_bloc.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\get_doctor\bloc\doctor_event.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\get_doctor\bloc\doctor_state.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 7, 20
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\get_doctor\data\datasource\doctor_remote_datasource.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 5, 6, 32
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\get_doctor\data\model\doctor_model.dart", "Dart", 0, 41, 0, 0, 0, 0, 0, 0, 0, 1, 4, 46
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\get_doctor\data\repository\doctor_repository_impl.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\get_doctor\domain\entities\doctor.dart", "Dart", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\get_doctor\domain\repository\doctor_repository.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 1, 6
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\get_doctor\domain\usecases\get_all_doctor.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 5, 18
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\get_doctor\page\get_doctor.dart", "Dart", 0, 100, 0, 0, 0, 0, 0, 0, 0, 19, 3, 122
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\get_doctor\widget\get_doctor_bottom_sheet.dart", "Dart", 0, 204, 0, 0, 0, 0, 0, 0, 0, 10, 9, 223
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\bloc\daily_quotes\daily_quotes_bloc.dart", "Dart", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\bloc\daily_quotes\daily_quotes_event.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\bloc\daily_quotes\daily_quotes_state.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\bloc\mode_message\mode_message_bloc.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\bloc\mode_message\mode_message_event.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 3, 10
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\bloc\mode_message\mode_message_state.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 10, 28
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\data\chart_mode\data_helper.dart", "Dart", 0, 69, 0, 0, 0, 0, 0, 0, 0, 18, 12, 99
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\data\datasource\meditation_remote_datasource.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 7, 42
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\data\model\chart_mode_data_model.dart", "Dart", 0, 53, 0, 0, 0, 0, 0, 0, 0, 11, 16, 80
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\data\model\daily_quote_model.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 9, 5, 34
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\data\model\mood_message_model.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 3, 13
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\data\repository\meditation_repository_impl.dart", "Dart", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\domain\entities\daily_quotes.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\domain\entities\mood_message.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\domain\repository\meditation_repository.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\domain\usecase\get_daily_quote.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\domain\usecase\get_mood_message.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 3, 13
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\page\meditation_screen.dart", "Dart", 0, 321, 0, 0, 0, 0, 0, 0, 0, 45, 13, 379
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\widgets\chart_widget.dart", "Dart", 0, 120, 0, 0, 0, 0, 0, 0, 0, 3, 12, 135
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\widgets\custom_mood_bottomsheet.dart", "Dart", 0, 105, 0, 0, 0, 0, 0, 0, 0, 8, 12, 125
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\widgets\drawer_widget.dart", "Dart", 0, 141, 0, 0, 0, 0, 0, 0, 0, 7, 4, 152
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\widgets\feeling_button.dart", "Dart", 0, 46, 0, 0, 0, 0, 0, 0, 0, 3, 4, 53
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\meditation\widgets\task_card.dart", "Dart", 0, 87, 0, 0, 0, 0, 0, 0, 0, 5, 5, 97
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\music\bloc\song_bloc.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\music\bloc\song_event.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\music\bloc\song_state.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 8, 21
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\music\data\datasource\song_remote_datasource.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 5, 7, 33
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\music\data\model\song_model.dart", "Dart", 0, 31, 0, 0, 0, 0, 0, 0, 0, 1, 3, 35
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\music\data\repository\song_repository_impl.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\music\domain\entities\song.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 2, 21
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\music\domain\repository\song_repository.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 1, 6
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\music\domain\usecases\get_all_songs.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 4, 15
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\music\page\playlist_screen.dart", "Dart", 0, 134, 0, 0, 0, 0, 0, 0, 0, 3, 5, 142
"c:\.projects\flutter\mental_health_flutter\lib\features\presentation\music\widgets\songs_bottom_sheet.dart", "Dart", 0, 249, 0, 0, 0, 0, 0, 0, 0, 66, 16, 331
"c:\.projects\flutter\mental_health_flutter\lib\firebase_options.dart", "Dart", 0, 53, 0, 0, 0, 0, 0, 0, 0, 12, 4, 69
"c:\.projects\flutter\mental_health_flutter\lib\generated\assets.dart", "Dart", 0, 26, 0, 0, 0, 0, 0, 0, 0, 1, 3, 30
"c:\.projects\flutter\mental_health_flutter\lib\injection_container.dart", "Dart", 0, 43, 0, 0, 0, 0, 0, 0, 0, 5, 7, 55
"c:\.projects\flutter\mental_health_flutter\lib\main.dart", "Dart", 0, 259, 0, 0, 0, 0, 0, 0, 0, 81, 8, 348
