"filename", "language", "Dart", "Groovy", "Swift", "Properties", "XML", "JSON", "C++", "HTML", "YAML", "Markdown", "comment", "blank", "total"
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\android\settings.gradle", "Groovy", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 29
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\assets\animation\coming_soon.json", "JSON", 0, 0, 0, 0, 0, 12323, 0, 0, 0, 0, 0, 0, 12323
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\assets\google_gemini_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\assets\translations\ar.json", "JSON", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 3, 58
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\assets\translations\en.json", "JSON", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 1, 56
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\devtools_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\firebase.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\flutter_launcher_icons.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 9, 6, 33
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\victor\AndroidStudioProjects\mental_health_flutter\ios\Runner\Assets.xcassets\AppIcon.appiconset\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
